 House.Price_thousand ,Beds,Baths, Area_thousand ,Address,Parking,Yard,Church,Year.built
39.5,2,1,1.035,"5 Panther Rd,Conway, AR 72032",2,No,3.9,67
50,3,1,0.9,"18 Kellee Rd, Conway, AR 72032",0,No,2.7,16
55,3,2,0.8,"315 Olivier St, Conway, AR 72034",0,Yes,0.3,59
55,2,1,1.587,"2061 Keathley Dr, Conway, AR 72032",0,No,0.2,50
69,3,1,0.976,"2118 Caldwell St, Conway, AR 72034",1,No,0.4,53
69.9,3,2,1.682,"10 Valley Rd,Conway, AR 72032",0,Yes,1.1,37
79.9,3,2,1.248,"322 Mildred St,Conway, AR 72034",1,No,1.9,40
85,3,2,1.167,"18 Azalea Loop, Conway, AR 72032",1,No,2.1,37
90,3,2,1.663,"6061 Highway 319 W, Conway, AR 72034",1,No,3.3,50
95.5,4,2,1.303,"130 Eve Ln, Conway, AR 72034",0,Yes,1.3,24
99.9,2,1,1.266,"25 Fred Ln, Conway, AR 72032",1,Yes,1.1,26
102.5,3,2,1.408,"523 3rd St, Conway, AR 72032",1,Yes,0.4,45
103,3,1,1.292,"44 Brier Springs Dr,Conway, AR 72034",2,Yes,1.1,29
107,3,2,1.11,"1385 Arapaho Trl,Conway, AR 72034",2,Yes,0.8,17
108,3,2,1.366,"2450 Landover Trl,Conway, AR 72032",2,Yes,0.7,16
111.113,3,2,1.434,"970 Crosspoint Rd,Conway, AR 72034",2,No,1.1,21
112.5,3,2,1.201,"1440 Huebner St,Conway, AR 72032",2,Yes,2.3,11
117,3,2,1.226,"1960 Sterling Dr,Conway, AR 72034",2,Yes,1,20
120,3,2,1.226,"11 Cottontail Dr,Conway, AR 72032",0,No,2.3,30
124.5,3,2,1.234,"1880 Arden Ln,Conway, AR 72034",2,Yes,0.7,10
126,3,2,1.949,"1311 Clifton St,Conway, AR 72034",2,Yes,0.4,55
127.9,3,2,1.518,"1906 Arrowhead Ln, Conway, AR 72032",1,Yes,0.8,26
128,3,2,1.469,"4 Nick Ln, Conway, AR 72032",1,Yes,0.3,23
129.5,3,2,1.952,"2214 West St,Conway, AR 72032",2,Yes,2.3,41
131.5,2,1,1.369,"1335 Marrisa St, Conway, AR 72032",2,Yes,0.5,10
134.5,3,3,1.36,"327 Locust St,Conway, AR 72034",2,Yes,0.3,12
135,3,2,1.681,"1408 Donaghey Ave, Conway, AR 72034",2,No,0.2,11
139.9,3,2,1.9,"2006 Hutto St,Conway, AR 72032",2,Yes,0.5,34
145.5,4,2,2.066,"449 Reedy Rd, Conway, AR 72034",0,No,0.9,85
147.565,3,2,1.435,"1725 Jasmine Ln, Conway, AR 72034",2,Yes,2.1,12
149.9,5,4,3.622,"367 Highway 365, Conway, AR 72032",2,No,0.6,48
